firstname;lastname;email;attribute_1;attribute_2;attribute_3;major;major[other];semester;language[a1];language[a2];iOSDev;appStoreLink;iOSDevExplained;introAssessment[INTRO];devices[iPad];devices[iPhone];devices[iPod];devices[Watch];devices[Mac];expinterWEBFE[expinter][1];expinterWEBFE[expinter][2];justifyWEBFE;expinterSSDEV[expinter][1];expinterSSDEV[expinter][2];justifySSDEV;expinterEMBED[expinter][1];expinterEMBED[expinter][2];justifyEMBED;expinterVRAR[expinter][1];expinterVRAR[expinter][2];justifyVRAR;expinterMLALG[expinter][1];expinterMLALG[expinter][2];justifyMLALG;expinterUIUX[expinter][1];expinterUIUX[expinter][2];justifyUIUX;otherSkills;Priorities[1];Priorities[2];Priorities[3];Priorities[4];Priorities[5];Priorities[6];Priorities[7];Priorities[8];Priorities[9];Priorities[10];Priorities[11];Comments;supervisorRating;CommentsTutor;teamName
Vorname 48;Nachname 48;vorname.nachname@48;no;tum_id_48;female;MSc Information Systems;;3;Native;B1/B2;I have no experience in Apple platform development other than the intro course.;;;hardly challenging;No;Yes;No;No;No;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;high interest;;no skills;not interested at all;;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;high interest;;;QUAR;ALLZ;IMT;MED;McKIN;TSYS;BSH;ZF FH;BMW;iHaus;LMU;;Advanced;;NO_TEAM
Vorname 49;Nachname 49;vorname.nachname@49;no;tum_id_49;male;MSc Informatics;;2;Native;C1/C2;"I was involved in the development of a native Apple application; but I had another role than developer (e.g. tester).";https://itunes.apple.com/us/app/xcode/id497799835?mt=12;"Games for iOS-Seminar WS 2013/14; and this intro course.";hardly challenging;No;No;No;No;Yes;average skills;extremely interested;;expert skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p";advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p";expert skills skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";"I like to work in intercultural teams; like to learn new stuff and would describe myself as open and interested in nearly everything.";iHaus;TSYS;ZF FH;McKIN;IMT;QUAR;LMU;MED;BSH;BMW;ALLZ;"I like to work in intercultural teams; like to learn new stuff and would describe myself as open and interested in nearly everything.";Advanced;;NO_TEAM
Vorname 50;Nachname 50;vorname.nachname@50;no;tum_id_50;male;MSc Informatics;;2;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;hardly challenging;No;No;No;No;No;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";beginner skills;high interest;;beginner skills;hardly interested;;expert skills skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;QUAR;BSH;iHaus;MED;BMW;ZF FH;McKIN;IMT;LMU;ALLZ;TSYS;;Advanced;;NO_TEAM
Vorname 51;Nachname 51;vorname.nachname@51;no;tum_id_51;male;BSc Informatics;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;hardly challenging;No;No;No;No;No;average skills;extremely interested;;expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;average interest;;no skills;not interested at all;;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;BMW;MED;QUAR;IMT;BSH;LMU;McKIN;iHaus;TSYS;ZF FH;ALLZ;;Advanced;;NO_TEAM
Vorname 52;Nachname 52;vorname.nachname@52;no;tum_id_52;female;BSc Information Systems;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;medium challenging;No;No;No;No;Yes;no skills;high interest;;advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;high interest;;no skills;not interested at all;;average skills;not interested at all;;no skills;average interest;;;McKIN;iHaus;MED;IMT;ALLZ;LMU;QUAR;ZF FH;BSH;BMW;TSYS;;Normal;;NO_TEAM
Vorname 53;Nachname 53;vorname.nachname@53;no;tum_id_53;male;BSc Information Systems;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;extremely challenging;No;No;No;No;No;no skills;extremely interested;;expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;average interest;;no skills;not interested at all;;advanced skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscin";beginner skills;high interest;;;MED;IMT;iHaus;ALLZ;McKIN;QUAR;LMU;BSH;BMW;ZF FH;TSYS;;Novice;;NO_TEAM
Vorname 54;Nachname 54;vorname.nachname@54;no;tum_id_54;male;BSc Informatics;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;medium challenging;No;Yes;No;No;Yes;no skills;extremely interested;;expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;high interest;;no skills;not interested at all;;average skills;hardly interested;;beginner skills;average interest;;;ALLZ;iHaus;QUAR;IMT;ZF FH;BSH;McKIN;MED;TSYS;BMW;LMU;;Normal;;NO_TEAM
Vorname 55;Nachname 55;vorname.nachname@55;no;tum_id_55;male;BSc Information Systems;;5;Native;B1/B2;I have no experience in Apple platform development other than the intro course.;;;extremely challenging;No;No;No;No;Yes;no skills;hardly interested;;beginner skills;not interested at all;;no skills;not interested at all;;no skills;not interested at all;;beginner skills;hardly interested;;beginner skills;hardly interested;;;iHaus;IMT;QUAR;MED;ALLZ;BSH;BMW;TSYS;McKIN;LMU;ZF FH;;Novice;;NO_TEAM
Vorname 56;Nachname 56;vorname.nachname@56;no;tum_id_56;male;BSc Informatics;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;medium challenging;No;No;No;No;No;average skills;extremely interested;;expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p";no skills;high interest;;advanced skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscin";beginner skills;high interest;;;QUAR;ALLZ;BSH;iHaus;MED;BMW;ZF FH;McKIN;LMU;IMT;TSYS;;Normal;;NO_TEAM
Vorname 57;Nachname 57;vorname.nachname@57;no;tum_id_57;male;BSc Information Systems;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;medium challenging;Yes;Yes;No;No;No;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";beginner skills;extremely interested;;beginner skills;hardly interested;;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;McKIN;ALLZ;iHaus;TSYS;IMT;QUAR;BSH;ZF FH;MED;LMU;BMW;;Normal;;NO_TEAM
Vorname 58;Nachname 58;vorname.nachname@58;no;tum_id_58;male;BSc Information Systems;;5;C1/C2;B1/B2;I have no experience in Apple platform development other than the intro course.;;;medium challenging;Yes;No;No;No;Yes;average skills;high interest;;advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";beginner skills;high interest;;no skills;hardly interested;;advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscin";no skills;high interest;;;ZF FH;iHaus;ALLZ;McKIN;QUAR;TSYS;BMW;MED;BSH;IMT;LMU;;Normal;;NO_TEAM
Vorname 59;Nachname 59;vorname.nachname@59;no;tum_id_59;male;BSc Informatics;;5;C1/C2;C1/C2;I have no experience in Apple platform development other than the intro course.;;;hardly challenging;No;No;No;No;No;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";average skills;high interest;;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p";expert skills skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;extremely interested;;"I'm not only interested in iOS but also in machine learning; which is the reason for my top 2 project choices.";ZF FH;McKIN;QUAR;MED;ALLZ;TSYS;IMT;BMW;BSH;iHaus;LMU;"I'm not only interested in iOS but also in machine learning; which is the reason for my top 2 project choices.";Advanced;;NO_TEAM
Vorname 60;Nachname 60;vorname.nachname@60;no;tum_id_60;female;MSc Information Systems;;1;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;extremely challenging;No;No;No;No;No;average skills;high interest;;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";average skills;average interest;;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p";beginner skills;average interest;;average skills;hardly interested;;;MED;QUAR;McKIN;ALLZ;IMT;iHaus;BMW;TSYS;BSH;LMU;ZF FH;;Novice;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 61;Nachname 61;vorname.nachname@61;no;tum_id_61;female;MSc Informatics;;1;A1/A2;C1/C2;I have been an active developer for a native Apple application.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;"I have worked as iOS developer for 1.5 years. I used Objective C (before Swift was announced) and later on Swift. For my bachelor theses; i developed iOS application.";hardly challenging;No;No;No;No;Yes;average skills;extremely interested;;expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;average interest;;no skills;not interested at all;;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;high interest;;;ALLZ;iHaus;BMW;QUAR;ZF FH;MED;McKIN;IMT;TSYS;BSH;LMU;;Expert;;NO_TEAM
Vorname 62;Nachname 62;vorname.nachname@62;no;tum_id_62;male;MSc Informatics;;1;A1/A2;Native;I have no experience in Apple platform development other than the intro course.;;;hardly challenging;No;Yes;No;No;Yes;beginner skills;high interest;;advanced skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;average interest;;beginner skills;not interested at all;;expert skills skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscin";expert skills skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;QUAR;iHaus;LMU;ALLZ;McKIN;ZF FH;BMW;TSYS;BSH;MED;IMT;;Advanced;;NO_TEAM
Vorname 63;Nachname 63;vorname.nachname@63;no;tum_id_63;male;MSc Informatics;;2;A1/A2;C1/C2;I have no experience in Apple platform development other than the intro course.;;;extremely challenging;No;No;No;No;No;expert skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";average skills;high interest;;beginner skills;average interest;;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;ZF FH;iHaus;McKIN;BMW;IMT;MED;TSYS;QUAR;ALLZ;LMU;BSH;;Novice;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 64;Nachname 64;vorname.nachname@64;no;tum_id_64;female;MSc Informatics;;1;C1/C2;C1/C2;I have no experience in Apple platform development other than the intro course.;;;extremely challenging;No;No;No;No;Yes;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;average interest;;no skills;not interested at all;;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;iHaus;QUAR;MED;ALLZ;BSH;McKIN;IMT;BMW;TSYS;ZF FH;LMU;;Novice;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 65;Nachname 65;vorname.nachname@65;no;tum_id_65;male;MSc Informatics;;2;B1/B2;C1/C2;I have no experience in Apple platform development other than the intro course.;;;hardly challenging;No;No;No;No;Yes;beginner skills;high interest;;advanced skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;average interest;;beginner skills;not interested at all;;beginner skills;average interest;;average skills;hardly interested;;;MED;IMT;QUAR;BMW;iHaus;ALLZ;ZF FH;McKIN;TSYS;BSH;LMU;;Advanced;;NO_TEAM
Vorname 66;Nachname 66;vorname.nachname@66;no;tum_id_66;male;MSc Informatics;;2;A1/A2;C1/C2;I have been an active developer for a native Apple application.;;"In my personal experience; iOS development makes me feel more comfortable; because the code is much more readable. I am able to create an iOS App from scratch. I am able to realise what makes a good UI; also I can track down issues using XCode debugger. From all the programming languages I am most experienced with Swift. Because of that; I have created from scratch a weather app with Swift.";hardly challenging;Yes;Yes;No;No;Yes;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;extremely interested;;beginner skills;not interested at all;;average skills;high interest;;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";"Thank you for organising this amazing praktikum; this is a big opportunity for me.  I hope to be part of three first projects.";ZF FH;IMT;BMW;ALLZ;QUAR;iHaus;McKIN;MED;BSH;TSYS;LMU;"Thank you for organising this amazing praktikum; this is a big opportunity for me.  I hope to be part of three first projects.";Advanced;;NO_TEAM
Vorname 67;Nachname 67;vorname.nachname@67;no;tum_id_67;male;MSc Informatics;;2;A1/A2;Native;I have no experience in Apple platform development other than the intro course.;;;hardly challenging;No;No;No;No;Yes;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;hardly interested;;average skills;not interested at all;;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";"Please don't match me with McKinsy. It would be extremely pointless since I have actually published a paper on the same topic """"real-time cloud base system for home monitoring infants""""";QUAR;BMW;MED;iHaus;BSH;ALLZ;IMT;ZF FH;TSYS;McKIN;LMU;"Please don't match me with McKinsy. It would be extremely pointless since I have actually published a paper on the same topic """"real-time cloud base system for home monitoring infants""""";Advanced;;NO_TEAM
Vorname 68;Nachname 68;vorname.nachname@68;no;tum_id_68;female;MSc Informatics;;2;A1/A2;C1/C2;I have no experience in Apple platform development other than the intro course.;;;medium challenging;No;No;No;No;No;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;average interest;;no skills;not interested at all;;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;high interest;;;QUAR;BMW;MED;iHaus;BSH;ALLZ;IMT;ZF FH;TSYS;McKIN;LMU;;Normal;;NO_TEAM
Vorname 69;Nachname 69;vorname.nachname@69;no;tum_id_69;male;BSc Informatics;;3;Native;C1/C2;I have submitted my own native Apple application(s) to the AppStore.;;"I have previously developed a step counter app (walk-a-bit) that made it into the app store using objc with cocoa pods as a dependency manager. It wasn't the most algorithmically challenging; but gave some nice insights into the patterns and APIs used when working with iOS. I have also done some work in parallel to the iPraktikum crash course and familiarised myself with code linters and similar.";hardly challenging;Yes;Yes;No;No;Yes;expert skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";expert skills skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p";no skills;extremely interested;;expert skills skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscin";no skills;extremely interested;;"Looking at the presentations that I saw today made my realise once more why I chose this course: The real problems and real customers spark even more enthusiasm in me; and I look forward to the work!";ZF FH;QUAR;ALLZ;BSH;McKIN;MED;IMT;iHaus;BMW;TSYS;LMU;"Looking at the presentations that I saw today made my realise once more why I chose this course: The real problems and real customers spark even more enthusiasm in me; and I look forward to the work!";Advanced;;NO_TEAM
Vorname 70;Nachname 70;vorname.nachname@70;no;tum_id_70;male;MSc Informatics;;4;A1/A2;C1/C2;"I was involved in the development of a native Apple application; but I had another role than developer (e.g. tester).";https://itunes.apple.com/us/app/xcode/id497799835?mt=12;I helped a little bit in TeleClinic iOS app but I didn't write a lot of code.;medium challenging;No;No;No;No;Yes;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";average skills;average interest;;beginner skills;average interest;;expert skills skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;iHaus;QUAR;ALLZ;ZF FH;MED;BSH;IMT;TSYS;BMW;McKIN;LMU;;Normal;;NO_TEAM
Vorname 71;Nachname 71;vorname.nachname@71;no;tum_id_71;male;BSc Informatics;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;hardly challenging;No;No;No;No;Yes;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p";beginner skills;high interest;;expert skills skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;extremely interested;;;iHaus;MED;ZF FH;IMT;ALLZ;BSH;McKIN;TSYS;LMU;BMW;QUAR;;Advanced;;NO_TEAM
Vorname 72;Nachname 72;vorname.nachname@72;no;tum_id_72;female;BSc Informatics;;5;Native;Native;I have no experience in Apple platform development other than the intro course.;;;extremely challenging;No;Yes;No;No;No;average skills;extremely interested;;expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;high interest;;no skills;not interested at all;;advanced skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscin";beginner skills;high interest;;;ALLZ;McKIN;BSH;iHaus;QUAR;IMT;MED;ZF FH;BMW;LMU;TSYS;;Novice;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 73;Nachname 73;vorname.nachname@73;no;tum_id_73;male;BSc Information Systems;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;extremely challenging;Yes;Yes;No;No;Yes;beginner skills;high interest;;advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;high interest;;no skills;not interested at all;;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;high interest;;I would like to get in a team with Peter Zarnitz because we are already used to work together.;BMW;iHaus;IMT;MED;QUAR;ZF FH;LMU;TSYS;BSH;McKIN;ALLZ;I would like to get in a team with Peter Zarnitz because we are already used to work together.;Novice;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 74;Nachname 74;vorname.nachname@74;no;tum_id_74;male;BSc Information Systems;;5;Native;B1/B2;I have no experience in Apple platform development other than the intro course.;;;medium challenging;No;No;No;No;No;average skills;high interest;;advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";beginner skills;average interest;;no skills;hardly interested;;average skills;not interested at all;;no skills;average interest;;;MED;McKIN;QUAR;BMW;BSH;LMU;iHaus;ALLZ;ZF FH;TSYS;IMT;;Normal;;NO_TEAM
Vorname 75;Nachname 75;vorname.nachname@75;no;tum_id_75;male;BSc Informatics;;5;Native;B1/B2;I have no experience in Apple platform development other than the intro course.;;;medium challenging;No;No;No;No;Yes;beginner skills;high interest;;advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";beginner skills;hardly interested;;no skills;hardly interested;;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;high interest;;;BMW;IMT;TSYS;QUAR;iHaus;MED;McKIN;BSH;ALLZ;LMU;ZF FH;;Normal;;NO_TEAM
